,Group,Proba,Nature,Museum,Family,Activity,Walking,Theatre,Landmarks
0,3.0,0.25,3.8,2.0,3.4,4.4,3.0,2.4,2.8
1,2.0,0.2,1.0,3.75,3.0,1.25,2.25,3.5,3.0
2,1.0,0.3,4.333333333333333,3.6666666666666665,3.1666666666666665,1.8333333333333333,4.166666666666667,3.3333333333333335,1.3333333333333333
3,0.0,0.25,5.0,3.2,1.8,4.2,2.6,3.2,1.4
