United States Billion-Dollar Disasters Cost (CPI-Adjusted)
Cost values are in billions of dollars
State,Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
US,1990,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.4,2.2,2.9,2.2,3.2,1.9,3.2,1,8.4,6.4,10.4,6.2,10.6,5.9,10.9,1,2.0,1.9,2.4,1.9,2.7,1.7,2.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.7,1.4,2.4,1.9,2.6,2.2,2.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,14.5,11.9,18.1,12.2,19.1,11.7,19.4
US,1991,1,7.0,7.0,9.1,6.8,9.6,6.6,9.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,1.4,1.6,1.2,1.9,1.2,1.9,1,3.5,3.0,4.1,2.8,4.1,2.5,4.4,1,7.6,6.0,8.7,5.7,9.2,5.3,9.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,19.6,17.4,23.5,16.5,24.8,15.6,25.7
US,1992,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,7.1,6.5,8.1,6.5,8.7,5.8,8.7,2,67.1,60.0,72.9,57.7,75.3,56.6,77.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5.5,4.9,6.0,4.7,6.2,4.7,6.4,7,79.7,71.4,87.0,68.9,90.2,67.1,92.1
US,1993,1,2.8,2.9,3.3,2.7,3.5,2.7,3.5,1,46.3,32.7,44.2,30.7,46.2,29.4,47.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.4,1.1,1.3,1.1,1.5,0.9,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.0,2.2,3.0,2.2,3.3,2.0,3.5,1,12.2,11.2,13.0,11.0,13.4,10.3,14.1,5,65.7,50.1,64.8,47.7,67.9,45.3,70.3
US,1994,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.1,2.1,2.9,1.9,3.2,1.9,3.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.1,1.9,2.1,1.9,2.3,1.7,2.3,1,2.1,1.9,2.5,1.7,2.5,1.7,2.5,1,1.5,1.3,1.9,1.3,1.9,1.1,2.1,2,8.6,7.5,9.4,7.3,9.6,7.1,9.6,6,16.4,14.7,18.8,14.1,19.5,13.5,19.9
US,1995,1,2.0,1.8,2.3,1.6,2.7,1.4,2.9,1,5.2,3.3,5.0,2.9,5.4,2.9,5.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,12.6,9.7,13.0,8.9,13.8,8.5,14.4,3,15.7,14.3,18.3,13.9,20.0,13.5,20.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,35.5,29.1,38.6,27.3,41.9,26.3,43.5
US,1996,1,3.7,3.5,4.7,3.5,5.1,3.3,5.3,2,3.4,2.8,4.3,2.8,4.5,2.6,4.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0,9.2,11.7,8.6,12.3,8.2,12.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6.1,4.9,6.7,4.7,7.1,4.7,7.3,5,23.2,20.4,27.4,19.6,29.0,18.8,30.0
US,1997,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,13.2,12.2,17.9,11.5,18.7,10.7,19.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.9,1.8,2.2,1.8,2.2,1.6,2.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,15.1,14.0,20.1,13.3,20.9,12.3,21.9
US,1998,1,6.9,5.9,7.2,5.7,7.6,5.5,7.8,1,1.8,1.5,2.3,1.5,2.5,1.3,2.5,1,4.9,3.9,5.9,3.7,6.0,3.7,6.0,4,9.0,8.1,9.7,7.6,10.2,7.4,10.8,3,14.7,12.7,16.5,11.9,17.6,11.7,18.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.7,2.1,2.7,2.1,2.9,2.0,3.1,11,40.0,34.2,44.3,32.5,46.8,31.6,48.2
US,1999,1,4.8,4.4,5.2,4.2,5.2,4.2,5.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.8,3.2,4.2,3.2,4.3,3.0,4.5,1,12.1,10.7,13.1,10.3,13.7,9.9,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.7,3.4,4.2,3.2,4.6,3.0,5.0,5,24.4,21.7,26.7,20.9,27.8,20.1,28.8
US,2000,1,9.3,8.7,10.0,8.4,10.4,8.2,10.6,1,1.6,0.9,1.8,1.3,2.0,0.9,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.3,1.7,2.2,1.7,2.4,1.7,2.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.8,2.2,1.8,2.2,1.7,2.4,1,1.3,1.1,1.5,0.9,1.5,0.9,1.7,5,15.5,14.2,17.7,14.1,18.5,13.4,19.1
US,2001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.7,6.1,7.0,5.9,7.3,5.7,7.4,1,15.1,12.7,16.1,12.2,17.0,11.9,17.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,21.8,18.8,23.1,18.1,24.3,17.6,24.9
US,2002,1,16.0,16.0,17.6,15.7,18.0,15.5,18.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4.9,4.5,5.3,4.3,5.6,4.2,5.6,2,3.9,3.5,4.4,3.1,4.7,3.1,4.8,1,2.3,1.9,2.6,1.7,2.8,1.7,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,27.1,25.9,29.9,24.8,31.1,24.5,31.6
US,2003,1,8.7,8.0,8.8,7.8,9.0,7.6,9.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,13.7,12.3,15.4,11.8,16.0,11.5,16.5,1,9.3,8.0,9.7,7.7,10.2,7.7,10.4,1,6.6,5.6,7.0,5.4,7.3,5.3,7.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,38.3,33.9,40.9,32.7,42.5,32.1,43.8
US,2004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.9,2.7,3.1,2.5,3.3,2.3,3.5,4,89.3,79.9,95.5,77.6,98.8,76.5,100.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,92.2,82.6,98.6,80.1,102.1,78.8,104.1
US,2005,1,2.4,2.5,2.8,2.3,2.8,2.3,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.4,1.3,1.5,1.3,1.5,1.1,1.5,4,263.2,221.0,287.7,209.7,304.1,202.9,314.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,267.0,224.8,292.0,213.3,308.4,206.3,319.2
US,2006,1,9.5,8.9,10.3,8.7,10.7,8.6,10.8,1,2.4,2.2,3.3,2.0,3.6,1.9,3.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,11.0,9.9,11.5,9.6,11.8,9.2,12.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.3,2.1,2.5,2.1,2.7,1.9,2.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,25.2,23.1,27.6,22.4,28.8,21.6,29.4
US,2007,1,5.5,5.4,6.0,5.3,6.2,5.3,6.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.4,4.6,6.0,4.5,6.4,4.4,6.4,1,3.8,3.3,3.8,3.2,3.8,3.2,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.1,3.9,4.5,3.8,4.7,3.6,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,18.8,17.2,20.3,16.8,21.1,16.5,21.6
US,2008,1,10.4,9.8,11.2,9.5,11.6,9.4,11.8,1,14.8,11.6,14.6,11.0,15.2,10.7,15.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,13.3,12.6,14.2,11.9,14.6,11.4,14.7,3,53.6,49.2,57.6,47.8,59.5,47.1,60.6,1,1.8,1.7,2.0,1.6,2.0,1.4,2.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,93.9,84.9,99.6,81.8,102.9,80.0,104.8
US,2009,1,5.2,5.1,6.3,4.9,6.6,4.8,6.7,1,1.3,1.0,1.3,0.9,1.3,0.9,1.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,11.8,11.0,11.9,10.7,12.2,10.3,12.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,1.3,1.6,1.3,1.8,1.2,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,19.8,18.4,21.1,17.8,21.9,17.2,22.3
US,2010,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6.0,4.4,6.2,4.0,6.5,3.9,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,13.0,12.6,14.4,12.3,15.0,12.1,15.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.2,1.2,1.5,1.2,1.6,1.2,1.6,7,20.2,18.2,22.1,17.5,23.1,17.2,24.0
US,2011,1,17.1,15.4,17.6,15.0,18.2,14.9,18.6,2,7.2,6.9,8.2,6.5,8.6,6.3,8.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,44.9,41.2,48.2,40.1,50.4,38.6,52.7,2,22.3,19.4,24.2,18.9,25.3,18.6,25.9,1,2.5,2.1,2.8,1.9,2.9,1.8,3.1,2,3.9,3.2,3.9,3.0,4.1,3.0,4.3,18,97.9,88.2,104.9,85.4,109.5,83.2,113.4
US,2012,1,41.7,40.2,45.0,39.3,46.3,38.8,47.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,22.5,20.6,23.1,20.2,23.7,20.2,24.0,2,92.3,76.5,100.9,72.5,106.4,70.2,109.5,1,2.4,2.1,2.6,2.1,2.7,1.9,2.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,158.9,139.4,171.6,134.1,179.1,131.1,183.4
US,2013,1,14.3,13.6,15.6,13.2,16.0,12.9,16.4,2,3.5,3.1,4.3,2.8,4.5,2.8,4.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,14.3,13.4,15.4,13.2,15.8,13.1,16.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,32.1,30.1,35.3,29.2,36.3,28.8,37.3
US,2014,1,5.3,4.6,6.0,4.3,6.4,4.0,6.7,1,1.4,1.3,1.6,1.1,1.6,1.1,1.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,15.7,15.0,16.9,14.8,17.4,14.7,17.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.9,2.8,3.2,2.5,3.4,2.4,3.5,10,25.3,23.7,27.7,22.7,28.8,22.2,29.4
US,2015,1,6.0,5.4,7.7,5.1,8.4,4.9,8.8,2,6.0,4.9,6.1,4.7,6.4,4.5,6.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,10.9,10.3,11.9,10.1,12.4,9.9,12.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.0,3.7,4.2,3.6,4.2,3.6,4.4,1,4.0,3.9,4.2,3.8,4.3,3.6,4.4,11,30.9,28.2,34.1,27.3,35.7,26.5,36.9
US,2016,1,4.6,3.2,5.1,2.9,5.3,2.7,5.6,4,21.3,16.5,24.9,15.6,26.2,14.5,27.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,19.1,16.8,19.8,15.9,20.1,15.8,20.8,1,13.0,9.6,14.2,9.4,14.6,9.1,15.0,1,3.1,2.8,3.3,2.6,3.3,2.6,3.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,61.1,48.9,67.3,46.4,69.5,44.7,72.0
US,2017,1,3.3,2.5,3.5,2.3,3.8,2.2,3.9,2,4.2,3.2,4.7,2.8,4.9,2.7,5.2,1,1.3,1.0,1.4,1.0,1.6,0.9,1.6,11,24.7,23.1,26.6,22.2,27.4,21.1,28.7,3,339.2,274.0,393.0,246.4,432.0,230.4,448.0,1,23.0,18.9,26.2,18.2,28.2,17.9,28.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,395.7,322.7,455.4,292.9,497.9,275.2,516.2
US,2018,1,3.8,3.4,4.3,3.3,4.4,3.2,4.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,17.0,15.3,18.4,14.6,19.5,14.1,20.8,2,61.0,49.8,72.2,43.6,78.5,38.0,84.0,1,30.0,24.8,35.4,23.8,36.3,22.5,37.5,2,4.1,3.5,4.5,3.3,4.9,3.1,5.1,16,115.9,96.8,134.8,88.6,143.6,80.9,152.2
US,2019,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,24.7,19.8,29.0,18.9,30.5,17.8,34.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,17.0,15.8,19.1,14.8,20.0,14.2,21.0,2,8.2,5.2,10.3,4.9,11.1,4.5,11.8,1,5.5,4.1,6.5,3.7,7.4,3.1,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,55.4,44.9,64.9,42.3,69.0,39.6,74.9
US,2020,1,5.4,4.7,6.1,4.5,6.4,4.2,6.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,40.4,37.3,44.6,35.8,46.4,34.4,48.1,7,54.6,45.5,60.2,42.7,60.8,40.4,64.1,1,19.9,16.3,23.6,15.7,22.7,15.1,24.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,120.3,103.8,134.5,98.7,136.3,94.1,143.7
US,2021,1,10.1,9.6,10.7,9.0,11.5,8.5,12.1,2,2.9,2.5,3.3,2.4,3.6,2.2,3.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,23.2,19.7,25.6,19.2,27.1,18.1,28.2,4,88.7,75.3,102.5,71.3,106.5,64.5,113.9,1,12.1,9.9,13.8,9.2,14.6,8.6,15.2,1,27.2,24.0,31.6,23.2,32.5,21.8,33.7,20,164.2,141.0,187.5,134.3,195.8,123.7,206.9
US,2022,1,23.5,20.9,26.8,20.0,27.3,19.3,28.4,1,1.6,1.3,1.8,1.2,1.9,1.1,2.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,22.8,21.0,23.8,20.0,24.9,19.2,26.0,3,122.3,100.7,138.4,94.0,147.2,84.7,158.7,1,3.3,2.7,3.8,2.5,3.9,2.4,4.0,1,9.0,8.1,9.5,7.6,10.3,7.2,10.9,18,182.5,154.7,204.1,145.3,215.5,133.9,230.1
US,2023,1,14.8,13.1,17.3,12.5,18.0,11.9,18.8,4,9.3,7.8,11.0,6.8,11.8,6.1,12.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,55.5,50.1,59.2,47.9,62.1,46.3,63.8,2,8.0,6.6,8.9,6.2,10.0,5.7,10.7,1,5.7,4.1,6.3,3.8,6.8,3.5,7.4,1,1.8,1.6,2.1,1.5,2.2,1.4,2.3,28,95.1,83.3,104.8,78.7,110.9,74.9,115.7
US,2024,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,46.6,42.7,50.3,41.0,51.7,39.2,53.4,4,9.7,9.9,13.9,9.2,14.2,8.7,14.7,1,1.7,1.3,1.9,1.1,2.0,1.1,2.1,2,3.6,3.4,4.2,3.2,4.4,3.0,4.6,24,61.6,57.3,70.3,54.5,72.3,52.0,74.8
